Epoch: 251, TL: 0.006, TPSNR: 27.137, Test PSNR: 0.000
Epoch: 252, TL: 0.006, TPSNR: 27.029, Test PSNR: 0.000
Epoch: 253, TL: 0.006, TPSNR: 27.014, Test PSNR: 0.000
Epoch: 254, TL: 0.006, TPSNR: 26.809, Test PSNR: 0.000
Epoch: 255, TL: 0.006, TPSNR: 27.108, Test PSNR: 0.000
Epoch: 256, TL: 0.006, TPSNR: 26.995, Test PSNR: 0.000
Epoch: 257, TL: 0.006, TPSNR: 26.942, Test PSNR: 0.000
Epoch: 258, TL: 0.006, TPSNR: 27.082, Test PSNR: 0.000
Epoch: 259, TL: 0.006, TPSNR: 27.178, Test PSNR: 0.000
Epoch: 260, TL: 0.005, TPSNR: 27.241, Test PSNR: 35.440
Epoch: 261, TL: 0.006, TPSNR: 27.224, Test PSNR: 0.000
Epoch: 262, TL: 0.005, TPSNR: 27.131, Test PSNR: 0.000
Epoch: 263, TL: 0.006, TPSNR: 27.107, Test PSNR: 0.000
Epoch: 264, TL: 0.006, TPSNR: 26.937, Test PSNR: 0.000
Epoch: 265, TL: 0.005, TPSNR: 27.174, Test PSNR: 0.000
Epoch: 266, TL: 0.005, TPSNR: 27.207, Test PSNR: 0.000
Epoch: 267, TL: 0.005, TPSNR: 27.136, Test PSNR: 0.000
Epoch: 268, TL: 0.005, TPSNR: 27.282, Test PSNR: 0.000
Epoch: 269, TL: 0.005, TPSNR: 27.165, Test PSNR: 0.000
Epoch: 270, TL: 0.005, TPSNR: 27.286, Test PSNR: 35.814
Epoch: 271, TL: 0.006, TPSNR: 27.187, Test PSNR: 0.000
Epoch: 272, TL: 0.005, TPSNR: 27.284, Test PSNR: 0.000
Epoch: 273, TL: 0.005, TPSNR: 27.436, Test PSNR: 0.000
Epoch: 274, TL: 0.005, TPSNR: 27.186, Test PSNR: 0.000
Epoch: 275, TL: 0.005, TPSNR: 27.247, Test PSNR: 0.000
Epoch: 276, TL: 0.005, TPSNR: 27.309, Test PSNR: 0.000
Epoch: 277, TL: 0.005, TPSNR: 27.230, Test PSNR: 0.000
Epoch: 278, TL: 0.005, TPSNR: 27.273, Test PSNR: 0.000
Epoch: 279, TL: 0.005, TPSNR: 27.324, Test PSNR: 0.000
Epoch: 280, TL: 0.005, TPSNR: 27.181, Test PSNR: 35.432
Epoch: 281, TL: 0.005, TPSNR: 27.646, Test PSNR: 0.000
Epoch: 282, TL: 0.005, TPSNR: 27.444, Test PSNR: 0.000
Epoch: 283, TL: 0.005, TPSNR: 27.370, Test PSNR: 0.000
Epoch: 284, TL: 0.005, TPSNR: 27.561, Test PSNR: 0.000
Epoch: 285, TL: 0.005, TPSNR: 27.313, Test PSNR: 0.000
Epoch: 286, TL: 0.005, TPSNR: 27.356, Test PSNR: 0.000
Epoch: 287, TL: 0.005, TPSNR: 27.424, Test PSNR: 0.000
Epoch: 288, TL: 0.005, TPSNR: 27.391, Test PSNR: 0.000
Epoch: 289, TL: 0.005, TPSNR: 27.333, Test PSNR: 0.000
Epoch: 290, TL: 0.005, TPSNR: 27.568, Test PSNR: 35.797
Epoch: 291, TL: 0.005, TPSNR: 27.458, Test PSNR: 0.000
Epoch: 292, TL: 0.005, TPSNR: 27.368, Test PSNR: 0.000
Epoch: 293, TL: 0.005, TPSNR: 27.420, Test PSNR: 0.000
Epoch: 294, TL: 0.005, TPSNR: 27.396, Test PSNR: 0.000
Epoch: 295, TL: 0.005, TPSNR: 27.400, Test PSNR: 0.000
Epoch: 296, TL: 0.005, TPSNR: 27.609, Test PSNR: 0.000
Epoch: 297, TL: 0.005, TPSNR: 27.530, Test PSNR: 0.000
Epoch: 298, TL: 0.005, TPSNR: 27.547, Test PSNR: 0.000
Epoch: 299, TL: 0.005, TPSNR: 27.706, Test PSNR: 0.000
Epoch: 300, TL: 0.005, TPSNR: 27.731, Test PSNR: 35.584
Epoch: 301, TL: 0.005, TPSNR: 27.778, Test PSNR: 0.000
Epoch: 302, TL: 0.005, TPSNR: 27.748, Test PSNR: 0.000
Epoch: 303, TL: 0.005, TPSNR: 27.696, Test PSNR: 0.000
Epoch: 304, TL: 0.005, TPSNR: 27.691, Test PSNR: 0.000
Epoch: 305, TL: 0.005, TPSNR: 27.586, Test PSNR: 0.000
Epoch: 306, TL: 0.005, TPSNR: 27.780, Test PSNR: 0.000
Epoch: 307, TL: 0.005, TPSNR: 27.730, Test PSNR: 0.000
Epoch: 308, TL: 0.005, TPSNR: 27.584, Test PSNR: 0.000
Epoch: 309, TL: 0.005, TPSNR: 27.773, Test PSNR: 0.000
Epoch: 310, TL: 0.005, TPSNR: 27.743, Test PSNR: 35.896
Epoch: 311, TL: 0.005, TPSNR: 27.644, Test PSNR: 0.000
Epoch: 312, TL: 0.005, TPSNR: 27.771, Test PSNR: 0.000
Epoch: 313, TL: 0.005, TPSNR: 27.667, Test PSNR: 0.000
Epoch: 314, TL: 0.005, TPSNR: 27.787, Test PSNR: 0.000
Epoch: 315, TL: 0.005, TPSNR: 27.771, Test PSNR: 0.000
Epoch: 316, TL: 0.005, TPSNR: 27.827, Test PSNR: 0.000
Epoch: 317, TL: 0.005, TPSNR: 27.736, Test PSNR: 0.000
Epoch: 318, TL: 0.005, TPSNR: 27.741, Test PSNR: 0.000
Epoch: 319, TL: 0.005, TPSNR: 27.828, Test PSNR: 0.000
Epoch: 320, TL: 0.005, TPSNR: 27.786, Test PSNR: 35.910
Epoch: 321, TL: 0.005, TPSNR: 27.777, Test PSNR: 0.000
Epoch: 322, TL: 0.005, TPSNR: 27.699, Test PSNR: 0.000
Epoch: 323, TL: 0.005, TPSNR: 27.871, Test PSNR: 0.000
Epoch: 324, TL: 0.005, TPSNR: 27.932, Test PSNR: 0.000
Epoch: 325, TL: 0.005, TPSNR: 27.813, Test PSNR: 0.000
Epoch: 326, TL: 0.005, TPSNR: 27.910, Test PSNR: 0.000
Epoch: 327, TL: 0.005, TPSNR: 27.918, Test PSNR: 0.000
Epoch: 328, TL: 0.005, TPSNR: 27.879, Test PSNR: 0.000
Epoch: 329, TL: 0.005, TPSNR: 27.894, Test PSNR: 0.000
Epoch: 330, TL: 0.005, TPSNR: 27.822, Test PSNR: 36.054
Epoch: 331, TL: 0.005, TPSNR: 27.867, Test PSNR: 0.000
Epoch: 332, TL: 0.005, TPSNR: 27.802, Test PSNR: 0.000
Epoch: 333, TL: 0.005, TPSNR: 27.990, Test PSNR: 0.000
Epoch: 334, TL: 0.005, TPSNR: 27.883, Test PSNR: 0.000
Epoch: 335, TL: 0.005, TPSNR: 28.124, Test PSNR: 0.000
Epoch: 336, TL: 0.005, TPSNR: 27.887, Test PSNR: 0.000
Epoch: 337, TL: 0.005, TPSNR: 27.849, Test PSNR: 0.000
Epoch: 338, TL: 0.005, TPSNR: 27.878, Test PSNR: 0.000
Epoch: 339, TL: 0.005, TPSNR: 27.836, Test PSNR: 0.000
Epoch: 340, TL: 0.005, TPSNR: 27.986, Test PSNR: 36.354
Epoch: 341, TL: 0.005, TPSNR: 27.922, Test PSNR: 0.000
Epoch: 342, TL: 0.005, TPSNR: 27.843, Test PSNR: 0.000
Epoch: 343, TL: 0.005, TPSNR: 27.975, Test PSNR: 0.000
Epoch: 344, TL: 0.005, TPSNR: 27.829, Test PSNR: 0.000
Epoch: 345, TL: 0.005, TPSNR: 27.957, Test PSNR: 0.000
Epoch: 346, TL: 0.005, TPSNR: 28.260, Test PSNR: 0.000
Epoch: 347, TL: 0.005, TPSNR: 28.036, Test PSNR: 0.000
Epoch: 348, TL: 0.005, TPSNR: 28.073, Test PSNR: 0.000
Epoch: 349, TL: 0.005, TPSNR: 28.011, Test PSNR: 0.000
Epoch: 350, TL: 0.005, TPSNR: 28.185, Test PSNR: 36.275
Epoch: 351, TL: 0.005, TPSNR: 28.203, Test PSNR: 0.000
Epoch: 352, TL: 0.005, TPSNR: 28.207, Test PSNR: 0.000
Epoch: 353, TL: 0.005, TPSNR: 28.128, Test PSNR: 0.000
Epoch: 354, TL: 0.005, TPSNR: 28.171, Test PSNR: 0.000
Epoch: 355, TL: 0.005, TPSNR: 28.132, Test PSNR: 0.000
Epoch: 356, TL: 0.005, TPSNR: 28.135, Test PSNR: 0.000
Epoch: 357, TL: 0.005, TPSNR: 28.209, Test PSNR: 0.000
Epoch: 358, TL: 0.005, TPSNR: 28.306, Test PSNR: 0.000
